match_status,field,name_ko,name_en,naver_value,vivino_value,id
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","까테나 자파타 안젤리카 자파타 메를로","Catena Zapata Angélica Zapata Merlot","메를로","Merlot",85bcabd0-793d-4069-8327-d09eb4a74b48
MISMATCH,"지역 (region vs vivino_region)","까테나 자파타 안젤리카 자파타 메를로","Catena Zapata Angélica Zapata Merlot","멘도자","Argentina / Mendoza",85bcabd0-793d-4069-8327-d09eb4a74b48
MISMATCH,"생산자 (producer vs vivino_winery)","까테나 자파타 안젤리카 자파타 메를로","Catena Zapata Angélica Zapata Merlot","까테나 자파타","Angélica Zapata",85bcabd0-793d-4069-8327-d09eb4a74b48
MISMATCH,"스타일 (wine_type vs vivino_style)","까테나 자파타 안젤리카 자파타 메를로","Catena Zapata Angélica Zapata Merlot","red","Argentinian Merlot",85bcabd0-793d-4069-8327-d09eb4a74b48
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","산타 에마 셀렉트 떼루아 리제르바 소비뇽 블랑","Santa Ema Select Terroir Reserva Sauvignon Blanc","소비뇽 블랑","Sauvignon Blanc",8638e7c7-ab00-41c5-9070-50064852c5f7
VIVINO_ONLY,"지역 (region vs vivino_region)","산타 에마 셀렉트 떼루아 리제르바 소비뇽 블랑","Santa Ema Select Terroir Reserva Sauvignon Blanc","","Chile / Central Valley / Maipo Valley",8638e7c7-ab00-41c5-9070-50064852c5f7
MISMATCH,"생산자 (producer vs vivino_winery)","산타 에마 셀렉트 떼루아 리제르바 소비뇽 블랑","Santa Ema Select Terroir Reserva Sauvignon Blanc","Santa Ema","Santa Ema",8638e7c7-ab00-41c5-9070-50064852c5f7
MISMATCH,"스타일 (wine_type vs vivino_style)","산타 에마 셀렉트 떼루아 리제르바 소비뇽 블랑","Santa Ema Select Terroir Reserva Sauvignon Blanc","white","Chilean Sauvignon Blanc",8638e7c7-ab00-41c5-9070-50064852c5f7
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","구스타브 로렌츠 피노누아 리저브","Gustave Lorentz Pinot Noir Reserve","피노누아","Pinot Noir",8da94e2f-cbbf-4110-a3df-92762497a908
MISMATCH,"지역 (region vs vivino_region)","구스타브 로렌츠 피노누아 리저브","Gustave Lorentz Pinot Noir Reserve","알자스","France / Alsace",8da94e2f-cbbf-4110-a3df-92762497a908
MISMATCH,"생산자 (producer vs vivino_winery)","구스타브 로렌츠 피노누아 리저브","Gustave Lorentz Pinot Noir Reserve","구스타브 로렌츠","Gustave Lorentz",8da94e2f-cbbf-4110-a3df-92762497a908
MISMATCH,"스타일 (wine_type vs vivino_style)","구스타브 로렌츠 피노누아 리저브","Gustave Lorentz Pinot Noir Reserve","red","Alsace Pinot Noir",8da94e2f-cbbf-4110-a3df-92762497a908
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","케이머스 메르-솔레이 리저브 샤르도네","Caymus Mer-Soleil Reserve Chardonnay","샤르도네","Chardonnay",8dce7626-d941-4f16-ac8e-e781ae4467ac
MISMATCH,"지역 (region vs vivino_region)","케이머스 메르-솔레이 리저브 샤르도네","Caymus Mer-Soleil Reserve Chardonnay","캘리포니아","United States / California / Central Coast / Monterey County",8dce7626-d941-4f16-ac8e-e781ae4467ac
MISMATCH,"생산자 (producer vs vivino_winery)","케이머스 메르-솔레이 리저브 샤르도네","Caymus Mer-Soleil Reserve Chardonnay","케이머스","Mer Soleil",8dce7626-d941-4f16-ac8e-e781ae4467ac
MISMATCH,"스타일 (wine_type vs vivino_style)","케이머스 메르-솔레이 리저브 샤르도네","Caymus Mer-Soleil Reserve Chardonnay","white","Californian Chardonnay",8dce7626-d941-4f16-ac8e-e781ae4467ac
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","펜폴즈 쿠능가 힐 샤르도네","Penfolds Koonunga Hill Chardonnay","샤르도네","Chardonnay",4bcfa8fd-d7bf-4203-9e36-1ac2fcb24ab8
VIVINO_ONLY,"지역 (region vs vivino_region)","펜폴즈 쿠능가 힐 샤르도네","Penfolds Koonunga Hill Chardonnay","","Australia / South Australia",4bcfa8fd-d7bf-4203-9e36-1ac2fcb24ab8
MISMATCH,"생산자 (producer vs vivino_winery)","펜폴즈 쿠능가 힐 샤르도네","Penfolds Koonunga Hill Chardonnay","펜폴즈","Penfolds",4bcfa8fd-d7bf-4203-9e36-1ac2fcb24ab8
NAVER_ONLY,"스타일 (wine_type vs vivino_style)","펜폴즈 쿠능가 힐 샤르도네","Penfolds Koonunga Hill Chardonnay","white","",4bcfa8fd-d7bf-4203-9e36-1ac2fcb24ab8
