wine_id,our_name,vivino_name,score,cross_score,rating,reviews,url,winery,grapes,region
51f13840-e6e4-417a-808c-6fe52dcc3d67,Essemble Mosel,Dr. Willkomm Mosel Riesling Feinherb,0.50,0.50,4.2,8023,https://www.vivino.com/en/dr-willkomm-mosel-riesling-feinherb/w/5442624,Dr. Willkomm,Riesling,Germany / Mosel
51f3584b-3294-47d4-9dba-21ef7bb4ffe4,Vintage Longbottom Henry's Drive Shiraz,Vintage Longbottom Henry’s Drive Shiraz,1.00,1.00,3.9,986,https://www.vivino.com/en/vintage-longbottom-henry-s-drive-shiraz/w/1624055,Vintage Longbottom,Shiraz/Syrah,Australia / South Australia / Limestone Coast / Padthaway
52220c48-6c82-44a1-988a-5d0fcc377c5a,SMW Mosel Katz Riesling,Zimmermann Graeff & Müller Zeller Schwarze Katz Riesling Feinherb,0.50,0.50,3.6,199,https://www.vivino.com/en/zimmermann-graeff-muller-zeller-schwarze-katz-riesling-feinherb/w/2002206,Zimmermann Graeff & Müller,Riesling,Germany / Mosel
52444918-744b-4198-88bb-5f88ddec7893,Fitz Roy Bay Sauvignon Blanc,N.V. Félix Solís Fitzroy Bay Sauvignon Blanc,0.60,0.60,4.1,4996,https://www.vivino.com/en/felix-solis-fitzroy-bay-sauvignon-blanc/w/7773028,Félix Solís,100% Sauvignon Blanc,New Zealand / South Island / Marlborough
526f5e0f-3c3f-4432-89a3-90a3332f9b9b,Footprint Shiraz,Footprint The Long Walk Shiraz,1.00,1.00,3.6,2520,https://www.vivino.com/en/footprint-the-long-walk-shiraz/w/1194017,Footprint,Shiraz/Syrah,South Africa / Western Cape
527734d4-d6ac-4436-b1f0-93df5d4f03ad,Undurraga Founders Collection Cabernet Sauvignon,Undurraga Founder's Collection Cabernet Sauvignon,0.80,0.80,4.2,12356,https://www.vivino.com/en/undurraga-founder-s-collection-cabernet-sauvignon/w/1130293,Undurraga,Cabernet Sauvignon,Chile / Central Valley / Maipo Valley
529793bb-4284-4e25-9498-63f968bd993d,California Roots Chardonnay,California Roots Chardonnay,1.00,1.00,3.5,1422,https://www.vivino.com/en/california-roots-chardonnay/w/5762409,California Roots,Chardonnay,United States / California
52d70dd9-706b-4d01-995f-296ac6fd2c27,Buck Shack Bourbon Barrel Cabernet Sauvignon,Buck Shack Bourbon Barrel Cabernet Sauvignon,1.00,1.00,4,6374,https://www.vivino.com/en/buck-shack-bourbon-barrel-cabernet-sauvignon/w/7249442,Buck Shack,Cabernet Sauvignon,United States / Lake County
52fd3564-34fc-4c81-bf23-b56980b22b7b,Château Montferrat Blanc,Château Carbonnieux Pessac-Léognan Blanc (Grand Cru Classé de Graves),0.67,0.67,4.1,25528,https://www.vivino.com/en/chateau-carbonnieux-pessac-leognan-blanc-grand-cru-classe-de-graves/w/78014,Château Carbonnieux,"Sauvignon Blanc, Sémillon",France / Bordeaux / Graves / Pessac-Léognan
532c1905-e98d-4cb7-9137-d50de5415649,Unico Sangiovese Riserva,Unico Sangiovese di Romagna Riserva,1.00,1.00,3.4,777,https://www.vivino.com/en/unico-sangiovese-di-romagna-riserva/w/1487846,Unico,Sangiovese,Italy / Northern Italy / Emilia-Romagna / Romagna / Sangiovese di Romagna
532f19d0-75e6-468e-881b-8d9af168e59b,Sucardi Serie A Torrontés,Zuccardi Serie A Torrontés,0.67,0.67,3.8,10409,https://www.vivino.com/en/zuccardi-serie-a-torrontes/w/1206786,Zuccardi,Torrontés,Argentina / Salta
534a2123-3cba-407c-8c54-7724fb6b1e89,Long Cloud Reserve Marlborough Sauvignon Blanc,Long Cloud Reserve Sauvignon Blanc,0.83,0.83,3.8,1884,https://www.vivino.com/en/long-cloud-reserve-sauvignon-blanc/w/7446065,Long Cloud,Sauvignon Blanc,New Zealand / South Island / Marlborough
53692f01-688d-4bb5-a45c-edf75ad81ef6,Tellus Merlot,Falesco Tellus Merlot,1.00,1.00,3.7,425,https://www.vivino.com/en/falesco-tellus-merlot-umbria/w/4542477,Falesco,Merlot,Italy / Central Italy / Umbria
53c2dc1b-8c56-4efb-b1b7-069174eabb6c,Kings of Prohibition Chardonnay,Kings of Prohibition Chardonnay,1.00,1.00,3.8,665,https://www.vivino.com/en/kings-of-prohibition-chardonnay/w/8578764,Kings of Prohibition,Chardonnay,Australia / New South Wales / Big Rivers / Riverina
53f1c7f1-d36d-443a-8b4c-8e13c5efb291,Apartamento La Perla,La Perla del Priorat Noster Inicial,0.50,0.50,3.8,2493,https://www.vivino.com/en/la-perla-del-priorat-noster-inicial/w/1125141,La Perla del Priorat,"Cariñena, Cabernet Sauvignon",Spain / Catalunya / Priorat
54306e41-de18-4bbc-a0ef-8bd31b1cb5b3,Gabriel Ashley Napa Valley Cabernet Sauvignon,Duckhorn Napa Valley Cabernet Sauvignon,0.67,0.67,4.3,45658,https://www.vivino.com/en/duckhorn-napa-valley-cabernet-sauvignon/w/3475,Duckhorn,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley
54a23232-b222-4b92-bec6-2979c09f166d,Louis Roederer Cristal Millésime Brut 2002,Louis Roederer Cristal Brut Champagne (Millésimé),0.80,0.80,4.6,52609,https://www.vivino.com/en/louis-roederer-cristal-brut-champagne-millesime/w/74304,Louis Roederer,"Pinot Noir, Chardonnay",France / Champagne
54badec2-2430-4ff3-9154-3e3b735956a1,Homesera Cava Brut,N.V. Codorníu Cava Clasico Brut,0.50,0.50,3.6,24355,https://www.vivino.com/en/codorniu-cava-clasico-brut/w/1180680,Codorníu,"Macabeo, Xarel-lo, Parellada",Spain / Cava
54c59995-c46d-4e20-9faf-0405ef225c57,Walter Hanzel K Hill Lane Pinot Noir,Walter Hansel Cahill Lane Vineyard Pinot Noir,0.67,0.67,4.2,1132,https://www.vivino.com/en/walter-hansel-cahill-lane-vineyard-pinot-noir/w/1871938,Walter Hansel,Pinot Noir,United States / California / North Coast / Sonoma County / Russian River Valley
54dce2e9-eae8-4550-b4fb-c02f7efe1313,Cuvée Confiance Rosé,La Vidaubanaise Cuvée Constance Rosé,0.50,0.50,4.1,36,https://www.vivino.com/en/la-vidaubanaise-cuvee-constance-rose/w/2533392,La Vidaubanaise,"Shiraz/Syrah, Grenache Blanc, Cinsault",France / Provence / Côtes de Provence
